operator,conquest_epoch
Modulo,4668.0
Add,2627.0
Subtract,3124.0
Multiply,6130.0
Divide,2360.0
Modulo,4724.0
Add,2593.0
Subtract,2556.0
Multiply,6136.0
Divide,2456.0
Modulo,4838.0
Add,2657.0
Subtract,2608.0
Multiply,5705.0
Divide,2379.0
Modulo,4882.0
Add,2550.0
Subtract,2786.0
Multiply,5769.0
Divide,2228.0
Modulo,4447.0
Add,2191.0
Subtract,2594.0
Multiply,5941.0
Divide,2147.0
Modulo,4963.0
Add,2950.0
Subtract,2417.0
Multiply,5753.0
Divide,2390.0
Modulo,4772.0
Add,2549.0
Subtract,2637.0
Multiply,6105.0
Divide,2464.0
Modulo,4563.0
Add,2039.0
Subtract,2861.0
Multiply,5520.0
Divide,2303.0
Modulo,4530.0
Add,2468.0
Subtract,3151.0
Multiply,5865.0
Divide,2345.0
Modulo,4642.0
Add,3282.0
Subtract,2701.0
Multiply,5943.0
Divide,2431.0
Modulo,5116.0
Add,2620.0
Subtract,2607.0
Multiply,6711.0
Divide,2403.0
Modulo,5397.0
Add,2742.0
Subtract,3522.0
Multiply,5805.0
Divide,2400.0
Modulo,4991.0
Add,2619.0
Subtract,2483.0
Multiply,6482.0
Divide,2354.0
Modulo,4759.0
Add,2638.0
Subtract,2792.0
Multiply,5958.0
Divide,2423.0
Modulo,4592.0
Add,3007.0
Subtract,2993.0
Multiply,5949.0
Divide,2245.0
Modulo,4791.0
Add,2812.0
Subtract,3013.0
Multiply,6388.0
Divide,2263.0
Modulo,5336.0
Add,2231.0
Subtract,2339.0
Multiply,5907.0
Divide,2230.0
Modulo,4546.0
Add,2420.0
Subtract,3325.0
Multiply,5620.0
Divide,2410.0
Modulo,4857.0
Add,3123.0
Subtract,2571.0
Multiply,5449.0
Divide,2399.0
Modulo,5058.0
Add,2423.0
Subtract,2838.0
Multiply,5759.0
Divide,2397.0
Modulo,4828.0
Add,2674.0
Subtract,2698.0
Multiply,5999.0
Divide,2331.0
Modulo,4513.0
Add,2691.0
Subtract,3421.0
Multiply,5764.0
Divide,2226.0
Modulo,4666.0
Add,2413.0
Subtract,2815.0
Multiply,5976.0
Divide,2430.0
Modulo,4662.0
Add,2454.0
Subtract,3079.0
Multiply,6381.0
Divide,2372.0
Modulo,4558.0
Add,2837.0
Subtract,2863.0
Multiply,5785.0
Divide,2298.0
Modulo,4772.0
Add,2179.0
Subtract,2782.0
Multiply,5970.0
Divide,2293.0
Modulo,4140.0
Add,2345.0
Subtract,3090.0
Multiply,6057.0
Divide,2561.0
Modulo,4807.0
Add,3254.0
Subtract,2337.0
Multiply,5726.0
Divide,2406.0
Modulo,4145.0
Add,2739.0
Subtract,2445.0
Multiply,6698.0
Divide,2427.0
Modulo,4387.0
Add,2155.0
Subtract,2747.0
Multiply,6137.0
Divide,2432.0
Modulo,5312.0
Add,2160.0
Subtract,2650.0
Multiply,5836.0
Divide,2641.0
Modulo,4826.0
